AreaName,LastResidence,Persons_Total,Males_Total,Females_Total,Persons_Work,Males_Work,Females_Work,Persons_Business,Males_Business,Females_Business,Persons_Education,Males_Education,Females_Education,Persons_Marriage,Males_Marriage,Females_Marriage,Persons_MoveAfterBirth,Males_MoveAfterBirth,Females_MoveAfterBirth,Persons_MoveWithHH,Males_MoveWithHH,Females_MoveWithHH,Persons_Other,Males_Other,Females_Other
DADRA & NAGAR HAVELI,Andaman & Nicobar Islands,6,4,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,1
DADRA & NAGAR HAVELI,Other Countries,101,54,47,26,25,1,2,2,0,1,0,1,15,1,14,4,2,2,30,9,21,23,15,8
MAHARASHTRA,Jammu & Kashmir,25774,14765,11009,5141,4525,616,265,179,86,1319,912,407,2127,103,2024,1037,608,429,6120,2539,3581,9765,5899,3866
MAHARASHTRA,Himachal Pradesh,15721,8438,7283,4112,3714,398,200,129,71,455,334,121,2373,84,2289,756,434,322,3791,1436,2355,4034,2307,1727
MAHARASHTRA,Punjab,73951,37890,36061,17990,16050,1940,1719,1316,403,1479,926,553,13151,471,12680,4019,2450,1569,22334,9351,12983,13259,7326,5933
MAHARASHTRA,Chandigarh,3576,1711,1865,868,720,148,53,34,19,160,83,77,556,14,542,185,95,90,1205,489,716,549,276,273
MAHARASHTRA,Uttarakhand,42968,24560,18408,15604,14392,1212,455,291,164,1007,708,299,7169,290,6879,1555,884,671,10173,3867,6306,7005,4128,2877
MAHARASHTRA,Haryana,48673,25960,22713,12570,11137,1433,1186,941,245,1279,852,427,6830,271,6559,2463,1453,1010,16199,6576,9623,8146,4730,3416
MAHARASHTRA,NCT of Delhi,86131,43679,42452,23253,19851,3402,1601,1154,447,2213,1354,859,12759,530,12229,4716,2586,2130,26814,10582,16232,14775,7622,7153
MAHARASHTRA,Rajasthan,570233,321711,248522,154625,144091,10534,26334,23156,3178,8162,6286,1876,97392,3418,93974,47228,28080,19148,137267,59019,78248,99225,57661,41564
MAHARASHTRA,Uttar Pradesh,2754706,1759250,995456,1104680,1051024,53656,32073,25006,7067,27416,21191,6225,393150,16046,377104,140484,82646,57838,572772,251792,320980,484131,311545,172586
MAHARASHTRA,Bihar,568667,389469,179198,263195,250902,12293,5433,4184,1249,12271,10378,1893,57807,2351,55456,22024,12394,9630,121201,49916,71285,86736,59344,27392
MAHARASHTRA,Sikkim,551,318,233,210,166,44,1,1,0,49,27,22,39,3,36,18,13,5,134,51,83,100,57,43
MAHARASHTRA,Arunachal Pradesh,790,453,337,182,156,26,6,5,1,164,118,46,67,4,63,36,15,21,207,79,128,128,76,52
MAHARASHTRA,Nagaland,1401,717,684,312,236,76,14,8,6,255,150,105,190,12,178,79,43,36,304,126,178,247,142,105
MAHARASHTRA,Manipur,2824,1460,1364,1032,645,387,27,22,5,625,379,246,207,7,200,61,35,26,441,155,286,431,217,214
MAHARASHTRA,Mizoram,480,247,233,118,72,46,3,1,2,159,93,66,23,1,22,6,3,3,88,31,57,83,46,37
MAHARASHTRA,Tripura,1577,945,632,581,525,56,10,9,1,175,128,47,177,7,170,38,23,15,373,129,244,223,124,99
MAHARASHTRA,Meghalaya,1842,910,932,496,351,145,16,9,7,218,131,87,158,4,154,52,29,23,602,226,376,300,160,140
MAHARASHTRA,Assam,30614,20017,10597,13311,12095,1216,332,239,93,2072,1702,370,2782,100,2682,802,484,318,7056,2667,4389,4259,2730,1529
MAHARASHTRA,West Bengal,309766,192781,116985,140494,129054,11440,4801,3656,1145,3616,2440,1176,40848,1459,39389,11944,6401,5543,63153,23300,39853,44910,26471,18439
MAHARASHTRA,Jharkhand,100285,69602,30683,50772,47728,3044,980,753,227,3556,2582,974,9543,409,9134,3499,1913,1586,18555,7270,11285,13380,8947,4433
MAHARASHTRA,Odisha,114411,73388,41023,55075,51271,3804,934,638,296,1369,977,392,15678,576,15102,4767,2601,2166,21524,7812,13712,15064,9513,5551
MAHARASHTRA,Chhattisgarh,168379,75295,93084,51494,38710,12784,1023,632,391,2106,1293,813,43120,1789,41331,10588,6018,4570,40158,16829,23329,19890,10024,9866
MAHARASHTRA,Madhya Pradesh,824624,346592,478032,188936,157501,31435,6919,4456,2463,10912,7176,3736,272836,9739,263097,62646,37970,24676,170683,71872,98811,111692,57878,53814
MAHARASHTRA,Gujarat,983653,454952,528701,166908,150378,16530,26157,21154,5003,16148,11567,4581,252418,9367,243051,115295,68557,46738,208470,91622,116848,198257,102307,95950
MAHARASHTRA,Daman & Diu,2067,990,1077,386,346,40,22,12,10,73,49,24,441,20,421,245,149,96,482,195,287,418,219,199
MAHARASHTRA,Dadra & Nagar Haveli,3066,715,2351,211,181,30,11,5,6,84,54,30,1835,74,1761,138,86,52,374,157,217,413,158,255
MAHARASHTRA,Andhra Pradesh,437034,178881,258153,93761,79216,14545,3890,2441,1449,3861,2695,1166,138376,4429,133947,36833,20601,16232,90597,35105,55492,69716,34394,35322
MAHARASHTRA,Karnataka,1399591,592606,806985,278084,229150,48934,11390,6990,4400,10907,7522,3385,425218,13715,411503,186159,112354,73805,250019,102894,147125,237814,119981,117833
MAHARASHTRA,Goa,68358,27386,40972,10480,8408,2072,568,285,283,1651,1062,589,19059,595,18464,9214,5157,4057,12334,4881,7453,15052,6998,8054
MAHARASHTRA,Lakshadweep,1138,650,488,108,89,19,8,5,3,8,2,6,105,7,98,60,32,28,133,58,75,716,457,259
MAHARASHTRA,Kerala,214889,108385,106504,65828,55987,9841,2986,2091,895,4678,2345,2333,39196,1481,37715,18769,10282,8487,47441,17856,29585,35991,18343,17648
MAHARASHTRA,Tamil Nadu,226029,116411,109618,65335,58439,6896,2985,2102,883,2097,1398,699,44219,1716,42503,20367,11441,8926,49285,19421,29864,41741,21894,19847
MAHARASHTRA,Puducherry,1568,794,774,346,305,41,18,14,4,27,24,3,296,11,285,245,148,97,336,143,193,300,149,151
MAHARASHTRA,Andaman & Nicobar Islands,2043,888,1155,269,223,46,13,6,7,141,96,45,126,8,118,69,39,30,1222,412,810,203,104,99
MAHARASHTRA,Other Countries,104008,51216,52792,14462,12345,2117,1045,722,323,1740,1081,659,17451,618,16833,14813,8570,6243,25426,11789,13637,29071,16091,12980
ANDHRA PRADESH,Jammu & Kashmir,6583,3912,2671,741,662,79,49,36,13,83,48,35,278,21,257,141,76,65,1230,484,746,4061,2585,1476
